Model,Train_RMSE,Train_R2,Val_RMSE,Val_R2,Test_RMSE,Test_MAE,Test_R2,Baseline_RMSE,Improvement_%
O3_target,6.9018556555638755,0.958267376487658,5.954794551511228,0.9599534693400604,4.1391019784171466,3.0701600518044967,0.8437115050224515,26.879652062214557,84.60135581801079
NO2_target (soft blended),9.52133007423826,0.8974764164074804,18.291674484877,0.6791252006196092,17.118170928869713,13.228361988642273,0.02051106448414408,25.88763603354831,33.87510969836748
NO2_target (hard blended),9.52133007423826,0.8974764164074804,18.291674484877,0.6791252006196092,18.803512392703094,13.806709563294358,-0.18185114048441964,25.88763603354831,27.36489199579582
NO2_target (global),9.52133007423826,0.8974764164074804,18.291674484877,0.6791252006196092,15.610865048470815,12.889422551780267,0.18541059693002948,25.88763603354831,39.69760302470114
