,test_rmse,test_mae,test_r2,baseline_rmse,note
winter,4.2165706780685,2.768289464477334,0.7804092290173492,16.974221648286143,Normal test
summer,7.607858931586951,4.458502284156177,0.953954322197061,37.33973818664218,Used val set as test
monsoon,5.844548130649758,4.796174356248835,0.6484418029852153,23.61569870381561,Normal test
post_monsoon,9.906567074705032,7.455001599724032,0.28918278947640175,30.7051956790901,Normal test
