iter	RMSE
189	1.444354155e-07
190	1.440244354e-07
191	1.436125768e-07
192	1.432161073e-07
193	1.429197478e-07
194	1.426238012e-07
195	1.422652521e-07
196	1.419383195e-07
197	1.416387664e-07
198	1.413348796e-07
199	1.409211167e-07
200	1.405634462e-07
201	1.400864545e-07
202	1.397165689e-07
203	1.394984468e-07
204	1.391970549e-07
205	1.388889799e-07
206	1.385539781e-07
207	1.383233043e-07
208	1.380901627e-07
209	1.377932393e-07
210	1.375398206e-07
211	1.370452036e-07
212	1.367480457e-07
213	1.36497945e-07
214	1.362148799e-07
215	1.359201751e-07
216	1.356535099e-07
217	1.353558754e-07
218	1.350647485e-07
219	1.347449189e-07
220	1.345263695e-07
221	1.341349765e-07
222	1.33893245e-07
223	1.335777377e-07
224	1.333236814e-07
225	1.331201235e-07
226	1.329248527e-07
227	1.327294612e-07
228	1.324241082e-07
229	1.321542375e-07
230	1.317780495e-07
231	1.315075225e-07
232	1.311764539e-07
233	1.309836869e-07
234	1.307310132e-07
235	1.303592289e-07
236	1.300591769e-07
237	1.296246549e-07
238	1.294415027e-07
239	1.29145168e-07
240	1.289915475e-07
241	1.286932154e-07
242	1.283927164e-07
243	1.281697828e-07
244	1.278911133e-07
245	1.27657195e-07
246	1.272130681e-07
247	1.269652967e-07
248	1.267205793e-07
249	1.263831173e-07
250	1.261685683e-07
251	1.259322089e-07
252	1.256823372e-07
253	1.255160221e-07
254	1.253685914e-07
255	1.251533609e-07
256	1.248568056e-07
257	1.245856962e-07
258	1.243973879e-07
259	1.242200163e-07
260	1.239596125e-07
261	1.237431434e-07
262	1.234652722e-07
263	1.232616662e-07
264	1.230187121e-07
265	1.227641979e-07
266	1.225554262e-07
267	1.224006596e-07
268	1.22151235e-07
269	1.219262404e-07
270	1.216992405e-07
271	1.214757499e-07
272	1.212349744e-07
273	1.210478838e-07
274	1.206414643e-07
275	1.203308984e-07
276	1.201565148e-07
277	1.19961879e-07
278	1.197441165e-07
279	1.194712483e-07
280	1.191193427e-07
281	1.188989533e-07
282	1.18649519e-07
283	1.183583386e-07
284	1.181510749e-07
285	1.178415459e-07
286	1.174465992e-07
287	1.172092313e-07
288	1.169801672e-07
289	1.168154933e-07
290	1.166392499e-07
291	1.165230177e-07
292	1.162295976e-07
293	1.159455572e-07
294	1.157548454e-07
295	1.155925486e-07
296	1.154415286e-07
297	1.152421172e-07
298	1.150255836e-07
299	1.148304478e-07
